City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,lodja,-3.48,23.43,71.28,92,100,1.43,CD,1579738074
269,george,-33.96,22.46,59.0,93,40,3.36,ZA,1579738074
270,inhambane,-23.86,35.38,76.66,67,73,8.97,MZ,1579738074
271,dudinka,69.41,86.18,-4.0,76,75,22.37,RU,1579738075
272,lata,40.16,-8.33,48.2,93,40,1.12,PT,1579738075
273,matara,5.95,80.54,73.71,89,43,5.88,LK,1579738075
274,jinxiang,22.86,115.7,69.01,87,22,2.64,CN,1579738075
275,tomatlan,19.93,-105.25,79.14,53,29,5.14,MX,1579738075
276,coffs harbour,-30.3,153.13,91.0,59,8,14.99,AU,1579738075
277,ambulu,-8.35,113.61,80.71,79,37,4.18,ID,1579738076
278,cabo rojo,18.09,-67.15,79.0,84,75,5.82,PR,1579738076
279,coahuayana,18.73,-103.68,78.8,74,40,17.22,MX,1579738076
280,barguzin,53.62,109.62,-10.77,97,95,4.65,RU,1579738076
281,morro bay,35.37,-120.85,66.0,93,90,8.05,US,1579738076
282,bjornevatn,69.67,29.98,23.0,73,40,29.97,NO,1579738077
283,yenagoa,4.92,6.26,78.82,81,83,3.42,NG,1579738077
284,middleton,53.55,-2.2,45.0,100,90,2.24,GB,1579738077
285,okhotsk,59.38,143.3,-22.0,70,0,6.58,RU,1579738077
286,sembe,1.65,14.58,71.15,59,100,3.58,CG,1579738078
287,peru,40.75,-86.07,32.0,57,1,5.82,US,1579738078
288,yamada,39.47,141.95,40.33,75,100,7.38,JP,1579738078
289,kosikha,53.36,84.58,19.4,85,75,13.42,RU,1579738078
290,japura,-0.32,102.35,74.23,96,59,0.92,ID,1579738078
291,pacifica,37.61,-122.49,64.0,87,1,10.29,US,1579738079
292,tanout,14.97,8.89,63.72,15,72,13.94,NE,1579738079
293,nardaran,40.56,50.01,42.8,60,24,18.34,AZ,1579738080
294,zyryanskoye,56.83,86.63,15.24,91,95,7.99,RU,1579738080
295,apatou,5.16,-54.35,72.93,81,34,4.7,GF,1579738080
296,sarai,53.75,41.02,25.66,89,99,14.9,RU,1579738080
297,kulhudhuffushi,6.62,73.07,83.79,79,71,23.15,MV,1579738080
298,grants pass,42.44,-123.33,46.99,87,90,2.57,US,1579738081
299,mayo,38.89,-76.51,34.0,58,5,0.43,US,1579738081
300,north bend,43.41,-124.22,55.4,76,90,17.22,US,1579738081
301,pilar,-9.6,-35.96,78.8,88,92,6.93,BR,1579738081
302,horqueta,-23.34,-57.06,75.02,97,54,3.58,PY,1579738081
303,namatanai,-3.67,152.43,84.18,72,0,8.1,PG,1579738082
304,mizan teferi,6.98,35.58,64.08,52,95,2.77,ET,1579738082
305,vanimo,-2.67,141.3,82.0,77,56,7.34,PG,1579738082
306,vardo,70.37,31.11,19.4,79,40,25.28,NO,1579738082
307,mwinilunga,-11.74,24.43,63.32,98,100,3.02,ZM,1579738082
308,cravo norte,6.3,-70.2,85.78,48,1,5.55,CO,1579738086
309,makakilo city,21.35,-158.09,80.6,57,20,4.7,US,1579738086
310,taoudenni,22.68,-3.98,65.57,26,100,6.62,ML,1579738086
311,dunedin,-45.87,170.5,63.0,77,77,8.99,NZ,1579738086
312,woodstock,43.13,-80.75,27.0,79,75,11.41,CA,1579737801
313,ler,8.3,30.14,64.17,19,1,6.89,SS,1579738087
314,charters towers,-20.1,146.27,82.98,70,99,11.83,AU,1579738087
315,te anau,-45.42,167.72,61.7,72,8,7.14,NZ,1579738087
316,pangnirtung,66.15,-65.71,-25.6,74,40,3.36,CA,1579738087
317,maralal,1.1,36.7,65.91,64,100,8.3,KE,1579738087
318,nizhneangarsk,55.78,109.55,-25.65,77,61,4.76,RU,1579738088
319,port elizabeth,-33.92,25.57,62.6,93,20,5.82,ZA,1579738088
320,beringovskiy,63.05,179.32,-13.32,96,2,7.92,RU,1579738088
321,robore,-18.33,-59.75,86.0,74,100,4.27,BO,1579738088
322,schongau,47.82,10.9,27.0,92,0,6.93,DE,1579738088
323,mahon,39.89,4.27,59.0,87,100,17.22,ES,1579738089
324,ontario,34.06,-117.65,66.99,59,1,3.36,US,1579738089
325,sangar,63.92,127.47,-18.47,93,100,10.92,RU,1579738089
326,mildura,-34.2,142.15,73.4,40,75,17.22,AU,1579738089
327,alakurtti,66.97,30.35,9.0,88,100,3.0,RU,1579738089
328,kefamenanu,-9.45,124.48,78.24,79,40,3.27,ID,1579738025
329,sambava,-14.27,50.17,74.28,98,100,1.07,MG,1579738090
330,hobyo,5.35,48.53,78.1,78,81,17.94,SO,1579738090
331,yumen,40.28,97.2,13.73,63,48,2.15,CN,1579738090
332,asyut,27.18,31.18,46.4,65,0,5.82,EG,1579737845
333,mae chan,20.15,99.85,55.99,100,1,3.36,TH,1579738093
334,salalah,17.02,54.09,73.4,60,75,4.7,OM,1579738094
335,fuxin,42.02,121.66,16.72,79,0,5.53,CN,1579738094
336,hovd,48.01,91.64,5.56,57,100,4.03,MN,1579738005
337,sainte-suzanne,-20.91,55.61,78.8,88,100,5.82,RE,1579737973
338,namibe,-15.2,12.15,74.61,74,88,11.1,AO,1579738094
339,ust-koksa,50.27,85.61,8.85,92,100,16.75,RU,1579738095
340,codrington,-38.27,141.97,59.27,70,99,34.56,AU,1579738095
341,brae,60.4,-1.35,48.2,93,100,29.97,GB,1579738095
342,saint-joseph,-21.37,55.62,78.8,94,90,12.75,RE,1579738095
343,plettenberg bay,-34.05,23.37,65.05,81,53,7.85,ZA,1579738095
344,mala,-12.66,-76.63,64.62,89,100,3.06,PE,1579738096
345,west bay,19.37,-81.42,70.0,68,75,9.17,KY,1579738096
346,ramhormoz,31.28,49.6,47.95,74,45,3.13,IR,1579738096
347,sao miguel do araguaia,-13.28,-50.16,71.82,98,100,3.78,BR,1579738023
348,anadyr,64.75,177.48,-25.01,74,78,4.47,RU,1579738096
349,batagay-alyta,67.8,130.41,-27.6,99,100,1.25,RU,1579738097
350,rawson,-43.3,-65.1,67.42,69,30,13.33,AR,1579738097
351,eureka,40.8,-124.16,59.0,71,90,4.7,US,1579738048
352,mizdah,31.45,12.98,46.38,63,66,9.64,LY,1579738097
353,kikwit,-5.04,18.82,72.63,86,100,1.25,CD,1579738097
354,adrar,20.5,-10.07,65.03,27,100,8.21,MR,1579738097
355,mollendo,-17.02,-72.01,71.24,83,98,2.53,PE,1579738098
356,ferrol,43.48,-8.24,52.0,100,40,2.24,ES,1579738098
357,port lincoln,-34.73,135.87,62.96,45,63,21.16,AU,1579738098
358,lilongwe,-13.97,33.79,62.6,93,20,4.7,MW,1579738098
359,kuala lipis,4.18,102.05,70.38,98,9,0.87,MY,1579737879
360,ndele,8.41,20.65,71.42,15,77,11.95,CF,1579738099
361,maniitsoq,65.42,-52.9,13.41,80,100,16.04,GL,1579738099
362,dwarka,22.24,68.97,69.71,59,36,25.32,IN,1579738099
363,port hardy,50.7,-127.42,42.8,93,90,27.51,CA,1579738099
364,hambantota,6.12,81.12,79.99,81,87,22.79,LK,1579738099
365,kamenka,51.32,42.77,32.0,97,100,1.01,RU,1579738100
366,mehamn,71.04,27.85,24.8,62,75,26.4,NO,1579738100
367,marsh harbour,26.54,-77.06,69.87,66,47,27.94,BS,1579737923
368,chardara,41.25,67.97,30.78,83,5,7.4,KZ,1579738100
369,strezhevoy,60.73,77.59,12.2,78,90,13.42,RU,1579738100
370,coquimbo,-29.95,-71.34,68.0,72,73,11.41,CL,1579738101
371,aklavik,68.22,-135.01,-20.2,67,40,3.36,CA,1579738104
372,wiang sa,8.64,99.37,78.01,94,20,2.37,TH,1579738104
373,dhankuta,26.98,87.33,41.29,90,0,4.43,NP,1579738104
374,honiara,-9.43,159.95,87.8,66,20,5.82,SB,1579738104
375,houma,29.6,-90.72,51.8,76,1,6.93,US,1579737845
376,hermiston,45.84,-119.29,46.4,100,90,8.05,US,1579738105
377,thinadhoo,0.53,72.93,83.84,80,41,18.37,MV,1579738105
378,kalabo,-14.97,22.68,69.13,87,93,3.42,ZM,1579738105
379,rolla,37.95,-91.77,33.01,90,90,14.99,US,1579738054
380,saint-prosper,46.21,-70.48,26.01,40,100,7.0,CA,1579738106
381,ampanihy,-24.7,44.75,68.09,84,41,8.34,MG,1579738106
382,kirakira,-10.45,161.92,84.67,70,2,4.03,SB,1579738106
